SaleID,CustomerID,ProductID,SaleDate,Quantity,UnitPrice,TotalPrice,Discount,SalesChannel,PaymentMethod
42,42,42,2024-02-11,1,25.00,25.00,2.50,Retail,Cash
43,43,43,2024-02-12,3,40.00,120.00,0.00,Online,PayPal
44,44,44,2024-02-13,4,50.00,200.00,5.00,Online,Credit Card
45,45,45,2024-02-14,1,30.00,30.00,4.50,Retail,Debit Card
46,46,46,2024-02-15,2,35.00,70.00,7.00,Online,Credit Card
47,47,47,2024-02-16,3,80.00,240.00,10.00,Retail,Cash
48,48,48,2024-02-17,4,60.00,240.00,0.00,Online,PayPal
49,49,49,2024-02-18,5,100.00,500.00,15.00,Online,Credit Card
50,50,50,2024-02-19,1,50.00,50.00,12.50,Retail,Debit Card
51,51,51,2024-02-20,2,500.00,1000.00,25.00,Online,Credit Card
52,52,52,2024-02-21,1,200.00,200.00,15.00,Retail,Cash
53,53,53,2024-02-22,3,1000.00,3000.00,0.00,Online,PayPal
54,54,54,2024-02-23,4,1200.00,4800.00,60.00,Online,Credit Card
55,55,55,2024-02-24,1,600.00,600.00,90.00,Retail,Debit Card
56,56,56,2024-02-25,2,300.00,600.00,120.00,Online,Credit Card
57,57,57,2024-02-26,3,150.00,450.00,10.00,Retail,Cash
58,58,58,2024-02-27,4,100.00,400.00,0.00,Online,PayPal
59,59,59,2024-02-28,5,250.00,1250.00,25.00,Online,Credit Card
60,60,60,2024-02-29,1,150.00,150.00,37.50,Retail,Debit Card
61,61,61,2024-03-01,1,200.00,200.00,20.00,Online,PayPal
62,62,62,2024-03-02,2,250.00,500.00,25.00,Retail,Cash
63,63,63,2024-03-03,3,300.00,900.00,30.00,Online,Credit Card
64,64,64,2024-03-04,4,350.00,1400.00,35.00,Online,Debit Card
65,65,65,2024-03-05,5,400.00,2000.00,40.00,Retail,PayPal
66,66,66,2024-03-06,1,450.00,450.00,45.00,Online,Credit Card
67,67,67,2024-03-07,2,500.00,1000.00,50.00,Retail,Debit Card
68,68,68,2024-03-08,3,550.00,1650.00,55.00,Online,PayPal
69,69,69,2024-03-09,4,600.00,2400.00,60.00,Online,Credit Card
70,70,70,2024-03-10,5,650.00,3250.00,65.00,Retail,Cash
71,71,71,2024-03-11,1,700.00,700.00,70.00,Online,Credit Card
72,72,72,2024-03-12,2,750.00,1500.00,75.00,Retail,Debit Card
73,73,73,2024-03-13,3,800.00,2400.00,80.00,Online,PayPal
74,74,74,2024-03-14,4,850.00,3400.00,85.00,Online,Credit Card
75,75,75,2024-03-15,5,900.00,4500.00,90.00,Retail,Cash
76,76,76,2024-03-16,1,950.00,950.00,95.00,Online,Debit Card
77,77,77,2024-03-17,2,1000.00,2000.00,100.00,Online,PayPal
78,78,78,2024-03-18,3,1050.00,3150.00,105.00,Retail,Credit Card
79,79,79,2024-03-19,4,1100.00,4400.00,110.00,Online,Debit Card
80,80,80,2024-03-20,5,1150.00,5750.00,115.00,Retail,PayPal
